Date,Amount,Category
2024-12-01,-779,Utilities
2024-12-03,-973,Transportation
2024-12-05,-781,Utilities
2024-12-05,4330,Freelance
2024-12-07,-641,Groceries
2024-12-10,-375,Rent
2024-12-14,-120,Health
2024-12-14,-880,Entertainment
2024-12-16,-384,Travel
2024-12-18,-381,Travel
2024-12-20,-209,Utilities
2024-12-21,-549,Transportation
2024-12-21,-531,Groceries
2024-12-23,-62,Utilities
2024-12-23,-566,Transportation
2024-12-25,-94,Dining
2024-12-25,-681,Groceries
2024-12-26,-971,Groceries
2024-12-28,-299,Travel
2024-12-29,-878,Health
2024-12-29,3745,Freelance
2024-12-29,-719,Rent
2024-12-29,-192,Groceries
2024-12-30,-528,Rent
2024-12-30,-505,Transportation
2024-12-30,-250,Utilities
2024-12-31,-917,Rent
2024-12-31,-229,Entertainment
2025-01-01,-197,Entertainment
2025-01-02,2869,Freelance
2025-01-04,-773,Health
2025-01-04,2947,Freelance
2025-01-04,-905,Groceries
2025-01-04,-493,Rent
2025-01-05,2192,Freelance
2025-01-06,-20,Utilities
2025-01-08,4866,Freelance
2025-01-09,-387,Rent
2025-01-10,-549,Groceries
2025-01-10,2673,Freelance
2025-01-11,2293,Salary
2025-01-12,-476,Health
2025-01-12,-398,Transportation
2025-01-14,-167,Transportation
2025-01-14,-570,Entertainment
2025-01-14,4914,Salary
2025-01-15,-924,Dining
2025-01-15,-217,Travel
2025-01-15,-236,Rent
2025-01-19,1852,Salary
2025-01-20,-872,Utilities
2025-01-22,1748,Salary
2025-01-25,2515,Freelance
2025-01-27,-437,Utilities
2025-01-27,-872,Health
2025-01-28,-435,Groceries
2025-01-30,-294,Dining
2025-01-31,-226,Groceries
2025-02-01,2984,Freelance
2025-02-02,-957,Health
2025-02-06,2696,Freelance
2025-02-07,-852,Transportation
2025-02-10,-192,Utilities
2025-02-10,-882,Entertainment
2025-02-10,-557,Rent
2025-02-11,4474,Salary
2025-02-11,-474,Entertainment
2025-02-13,-984,Utilities
2025-02-13,3439,Salary
2025-02-13,-73,Groceries
2025-02-14,-111,Transportation
2025-02-20,-852,Rent
2025-02-21,3321,Freelance
2025-02-21,-131,Transportation
2025-02-22,-736,Travel
2025-02-22,-133,Transportation
2025-02-22,-51,Travel
2025-02-23,-873,Transportation
2025-02-24,3163,Freelance
2025-02-27,-597,Groceries
2025-03-03,-137,Rent
2025-03-05,4730,Freelance
2025-03-05,-927,Dining
2025-03-05,-770,Dining
2025-03-06,-427,Rent
2025-03-07,-180,Entertainment
2025-03-08,-164,Entertainment
2025-03-09,-971,Entertainment
2025-03-12,-496,Entertainment
2025-03-14,-486,Utilities
2025-03-17,-837,Utilities
2025-03-17,4408,Freelance
2025-03-20,-397,Rent
2025-03-20,-695,Entertainment
2025-03-25,-854,Groceries
2025-03-25,-900,Rent
2025-03-26,-588,Health
2025-03-26,-24,Utilities
2025-03-29,-672,Health
2025-03-30,-230,Transportation
